"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"ATTINY85-20PU","Microchip Technology","ATTINY85-20PU-ND","","","Tube","Active","4","1.24000","$4.96","11238","6 Weeks","IC MCU 8BIT 8KB FLASH 8DIP","RoHS Compliant","Lead free","REACH Unaffected",""
"0675031020","Molex","WM5461CT-ND","","","Cut Tape (CT)","Active","4","1.15000","$4.60","16679","10 Weeks","CONN RCPT USB2.0 MINI B SMD R/A","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
