"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"AD823ARZ-RL","Analog Devices Inc.","AD823ARZ-RLCT-ND","","","Cut Tape (CT)","Active","10","6.55500","$65.55","9464","8 Weeks","IC OPAMP JFET 16MHZ RRO 8SOIC","RoHS Compliant","Lead free","REACH Unaffected"
"MCP1701AT-3002I/CB","Microchip Technology","MCP1701AT-3002I/CBCT-ND","","","Cut Tape (CT)","Active","10","0.90000","$9.00","3230","10 Weeks","IC REG LINEAR 3V 150MA SOT23A-3","RoHS Compliant","Lead free","REACH Unaffected"
"MAX1555EZK+T","Maxim Integrated","MAX1555EZK+TCT-ND","","","Cut Tape (CT)","Active","10","1.91300","$19.13","4497","6 Weeks","IC BATT CHRGR LI+ 1CELL SOT23-5","RoHS Compliant","Lead free","REACH Unaffected"
"PIC32MM0064GPL028-E/SO","Microchip Technology","PIC32MM0064GPL028-E/SO-ND","","","Tube","Active","10","1.61000","$16.10","1026","15 Weeks","64KB FLASH, 8KB RAM, 79 COREMARK","Not Available","Not Available","Not Available"
